,sensor,ekf,pos,att,nav,cmdr,fmu,io
463,101,482,502,211,123,81,10,1780
464,101,482,502,211,688,81,10,1780
465,101,482,502,211,688,82,10,1780
466,101,482,502,211,688,82,10,1873
467,101,482,502,211,688,82,14,1873
468,101,497,502,211,688,82,14,1873
469,106,497,502,211,688,82,14,1873
470,106,497,597,211,688,82,14,1873
471,106,497,597,244,688,82,14,1873
472,106,497,597,244,122,82,14,1873
473,106,497,597,244,122,82,14,1785
474,106,497,597,244,122,90,14,1785
475,106,497,597,244,122,90,14,1785
476,106,482,597,244,122,90,14,1785
477,101,482,597,244,122,90,14,1785
478,101,482,491,244,122,90,14,1785
479,101,482,491,200,122,90,14,1785
480,101,482,491,200,272,90,14,1785
481,101,482,491,200,272,151,14,1785
482,101,481,491,200,272,151,14,1785
483,101,481,491,200,272,151,14,1785
484,101,481,749,200,272,151,14,1785
485,101,481,749,296,272,151,14,1785
486,101,481,749,296,272,151,14,1767
487,101,481,749,296,272,151,10,1767
488,101,481,749,296,377,151,10,1767
489,101,481,749,296,377,81,10,1767
490,101,481,749,296,377,81,10,1800
491,101,481,749,296,377,81,10,1800
492,101,509,749,296,377,81,10,1800
493,101,509,749,296,377,81,10,1800
494,101,509,567,296,377,81,10,1800
495,101,509,567,256,377,81,10,1800
496,101,509,567,256,262,81,10,1800
497,101,509,567,256,262,81,10,1764
498,101,509,567,256,262,81,10,1764
499,101,510,567,256,262,81,10,1764
500,105,510,567,256,262,81,10,1764
501,105,510,561,256,262,81,10,1764
502,105,510,561,219,262,81,10,1764
503,105,510,561,219,262,97,10,1764
504,105,510,561,219,546,97,10,1764
505,105,552,561,219,546,97,10,1764
506,101,552,561,219,546,97,10,1764
507,101,552,501,219,546,97,10,1764
508,101,552,501,211,546,97,10,1764
509,101,552,501,211,546,97,10,1783
510,101,552,501,211,546,136,10,1783
511,101,552,501,211,546,136,10,1783
512,101,552,501,211,117,136,10,1783
513,101,552,501,211,117,81,10,1783
514,101,552,501,211,117,81,10,1796
515,101,552,501,211,117,81,14,1796
516,101,552,501,211,117,81,14,1796
517,101,552,501,211,117,81,14,1796
518,101,552,493,211,117,81,14,1796
519,101,552,493,200,117,81,14,1796
520,101,552,493,200,120,81,14,1796
521,101,552,493,200,120,81,14,1796
522,101,552,493,200,120,81,14,1781
523,101,552,493,200,120,81,10,1781
524,101,170,493,200,120,81,10,1781
525,101,170,493,200,120,81,10,1781
526,101,170,482,200,120,81,10,1781
527,101,170,482,196,120,81,10,1781
528,101,170,482,196,118,81,10,1781
529,101,170,482,196,118,327,10,1781
530,101,498,482,196,118,327,10,1781
531,102,498,482,196,118,327,10,1781
532,102,498,535,196,118,327,10,1781
533,102,498,535,213,118,327,10,1781
534,102,498,535,213,118,327,10,1799
535,102,498,535,213,118,327,14,1799
536,102,498,535,213,179,327,14,1799
537,102,498,535,213,179,81,14,1799
538,102,704,535,213,179,81,14,1799
539,830,704,535,213,179,81,14,1799
540,830,704,679,213,179,81,14,1799
541,830,704,679,320,179,81,14,1799
542,830,704,679,320,179,81,14,1773
543,830,704,679,320,179,81,14,1773
544,830,704,679,320,974,81,14,1773
545,830,704,679,320,974,150,14,1773
546,830,704,679,320,974,150,14,1842
547,830,704,679,320,974,150,14,1842
548,830,551,679,320,974,150,14,1842
549,101,551,679,320,974,150,14,1842
550,101,551,498,320,974,150,14,1842
551,101,551,498,210,974,150,14,1842
552,101,551,498,210,974,150,14,1793
553,101,551,498,210,974,150,10,1793
554,101,481,498,210,974,150,10,1793
555,101,481,498,210,974,150,10,1793
556,101,481,624,210,974,150,10,1793
557,101,481,624,238,974,150,10,1793
558,101,481,624,238,974,156,10,1793
559,101,481,624,238,188,156,10,1793
560,101,481,624,238,119,156,10,1793
561,101,909,624,238,119,156,10,1793
562,101,909,624,226,119,156,10,1793
563,101,909,249,226,119,156,10,1793
564,101,909,249,226,119,156,10,1793
565,101,909,249,226,119,156,10,1749
566,101,909,249,226,119,81,10,1749
567,101,909,249,226,119,81,10,1749
568,101,909,249,226,119,81,10,1749
569,101,909,249,226,119,81,10,1819
570,101,909,249,226,642,81,10,1819
571,101,909,249,226,642,81,10,1819
572,101,852,249,226,642,81,10,1819
573,101,852,489,226,642,81,10,1819
574,101,852,489,200,642,81,10,1819
575,101,852,489,200,642,81,10,1819
576,101,852,489,200,642,81,10,1800
577,101,852,489,200,642,81,10,1800
578,101,852,489,200,125,81,10,1800
579,101,852,489,200,125,81,14,1800
580,101,131,489,200,125,81,14,1800
581,102,131,489,200,125,81,14,1800
582,102,131,489,200,125,81,14,1800
583,102,131,489,200,125,81,14,1800
584,102,131,489,200,125,346,14,1800
585,102,131,489,200,179,346,14,1800
586,102,1204,489,200,179,346,14,1800
587,102,1204,489,198,179,346,14,1800
588,102,1204,250,198,179,346,14,1800
589,106,1204,250,198,179,346,14,1800
590,106,1204,250,198,179,346,14,1755
591,106,1204,250,198,179,346,14,1755
592,106,1204,250,198,179,81,14,1755
593,106,1204,250,198,172,81,14,1755
594,106,1204,250,198,172,81,14,1755
595,106,1204,250,198,172,81,14,1788
596,106,1204,250,198,172,81,14,1788
597,106,112,250,198,172,81,14,1788
598,153,112,250,198,172,81,14,1788
599,153,112,250,211,172,81,14,1788
600,153,112,250,211,172,464,14,1788
601,153,112,250,211,2312,464,14,1788
602,153,112,250,211,2312,464,14,1767
603,153,112,250,211,2312,464,10,1767
604,153,131,250,211,2312,464,10,1767
605,157,131,250,211,2312,464,10,1767
606,157,131,775,211,2312,464,10,1767
607,157,131,775,317,2312,464,10,1767
608,157,131,775,317,238,464,10,1767
609,157,225,775,317,238,464,10,1767
610,102,225,775,317,238,464,10,1767
611,102,225,496,317,238,464,10,1767
612,102,225,496,209,238,464,10,1767
613,102,225,496,209,238,85,10,1767
614,102,225,496,209,238,85,10,1766
615,102,225,496,209,238,85,10,1766
616,102,225,496,209,107,85,10,1766
617,102,225,496,209,107,151,10,1766
618,102,225,496,209,107,151,10,1729
619,102,225,496,209,107,151,10,1729
620,102,704,496,209,107,151,10,1729
621,998,704,496,209,107,151,10,1729
622,998,704,737,209,107,151,10,1729
623,998,704,737,297,107,151,10,1729
624,998,704,737,297,880,151,10,1729
625,998,704,737,297,880,81,10,1729
626,998,704,737,297,880,81,10,1756
627,998,704,737,297,880,81,14,1756
628,998,872,737,297,880,81,14,1756
629,998,872,737,298,880,81,14,1756
630,998,872,277,298,880,81,14,1756
631,170,872,277,298,880,81,14,1756
632,170,872,277,298,241,81,14,1756
633,170,872,277,298,241,81,14,1759
634,170,872,277,298,241,84,14,1759
635,170,872,277,298,241,84,14,1759
636,170,127,277,298,241,84,14,1759
637,105,127,277,298,241,84,14,1759
638,105,127,486,298,241,84,14,1759
639,105,127,486,197,241,84,14,1759
640,105,127,486,197,2486,84,14,1759
641,105,127,486,197,2486,84,14,1759
642,105,151,486,197,2486,84,14,1759
643,101,151,486,197,2486,84,14,1759
644,101,151,499,197,2486,84,14,1759
645,101,151,499,197,2486,84,14,1759
646,101,151,499,197,2486,84,14,1830
647,101,151,499,197,2486,84,14,1830
648,101,151,499,197,108,84,14,1830
649,101,151,499,197,108,161,14,1830
650,101,151,499,197,108,161,14,1819
651,101,151,499,197,108,161,15,1819
652,101,112,499,197,108,161,15,1819
653,101,112,499,197,108,161,15,1819
654,101,112,509,197,108,161,15,1819
655,101,112,509,209,108,161,15,1819
656,101,112,509,209,103,161,15,1819
657,101,112,509,209,103,161,15,1806
658,101,112,509,209,103,161,14,1806
659,101,584,509,209,103,161,14,1806
660,101,584,509,209,103,161,14,1806
661,101,584,504,209,103,161,14,1806
662,101,584,504,211,103,161,14,1806
663,101,584,504,211,103,86,14,1806
664,101,584,504,211,103,86,14,1806
665,101,507,504,211,103,86,14,1806
666,102,507,504,211,103,86,14,1806
667,102,507,505,211,103,86,14,1806
668,102,507,505,212,103,86,14,1806
669,102,507,505,212,103,150,14,1806
670,102,507,505,212,103,150,14,1780
671,102,507,505,212,103,150,10,1780
672,102,507,505,212,238,150,10,1780
673,102,507,501,212,238,150,10,1780
674,102,507,501,211,238,150,10,1780
675,102,507,501,211,238,81,10,1780
676,102,507,501,211,238,81,10,1736
677,102,507,501,211,238,81,10,1736
678,102,204,501,211,238,81,10,1736
679,101,204,501,211,238,81,10,1736
680,101,204,501,211,2331,81,10,1736
681,101,204,501,211,2331,81,10,1736
682,101,204,501,211,2331,81,10,1773
683,101,204,501,211,2331,81,10,1773
684,101,868,501,211,2331,81,10,1773
685,101,868,492,211,2331,81,10,1773
686,101,868,492,201,2331,81,10,1773
687,101,868,492,201,2331,81,10,1773
688,101,868,492,201,125,81,10,1773
689,101,868,492,201,125,82,10,1773
690,101,470,492,201,125,82,10,1773
691,101,470,492,201,125,82,10,1773
692,101,470,493,201,125,82,10,1773
693,101,470,493,200,125,82,10,1773
694,101,470,493,200,125,82,10,1789
695,101,470,493,200,125,82,10,1789
696,101,470,493,200,106,82,10,1789
697,101,470,493,200,106,81,10,1789
698,101,470,507,200,106,81,10,1789
699,101,470,507,200,106,81,10,1789
700,101,470,507,200,106,81,10,1789
701,101,470,507,200,106,81,10,1782
702,101,470,507,200,106,81,14,1782
703,101,112,507,200,106,81,14,1782
704,101,112,507,200,200,81,14,1782
705,101,112,507,200,200,90,14,1782
706,101,112,507,200,200,90,14,1741
707,101,112,507,200,200,90,10,1741
708,101,518,507,200,200,90,10,1741
709,101,518,507,200,200,90,10,1741
710,101,518,501,200,200,90,10,1741
711,101,518,501,210,200,90,10,1741
712,101,518,501,210,164,90,10,1741
713,101,518,501,210,164,90,10,1799
714,101,518,501,210,164,90,15,1799
715,101,127,501,210,164,90,15,1799
716,111,127,501,210,164,90,15,1799
717,111,127,492,210,164,90,15,1799
718,111,127,492,208,164,90,15,1799
719,111,127,492,208,164,81,15,1799
720,111,127,492,208,2092,81,15,1799
